pid,player,character,region,wins,losses,w/l,rank
1114,Quentin,Makoto,Chicago,77,41,36,9
1113,Quentin,Ken,Chicago,47,13,34,8
124,Adam,Alex,Chicago,52,22,30,8
126,Adam,Q,Chicago,17,6,11,6
1111,Quentin,Chun,Chicago,13,3,10,5
122,Adam,Necro,Chicago,19,10,9,5
115,Adam,Dudley,Chicago,13,4,9,5
1115,Quentin,Dudley,Chicago,11,2,9,5
116,Adam,Yang,Chicago,8,1,7,4
120,Adam,Elena,Chicago,6,2,4,3
1117,Quentin,Akuma,Chicago,5,1,4,3
1119,Quentin,Ryu,Chicago,10,7,3,2
1225,Tony,Oro,Chicago,4,1,3,2
1116,Quentin,Yang,Chicago,4,3,1,1
1017,Miguel,Akuma,Chicago,2,2,0,1
1123,Quentin,Hugo,Chicago,1,1,0,1
411,Gamble,Chun,Chicago,1,1,0,1
819,Kerry,Ryu,Chicago,12,13,-1,1
1019,Miguel,Ryu,Chicago,0,1,-1,1
216,Brian,Yang,Chicago,0,1,-1,1
319,Chase,Ryu,Chicago,0,1,-1,1
322,Chase,Necro,Chicago,0,1,-1,1
324,Chase,Alex,Chicago,0,1,-1,1
329,Chase,Sean,Chicago,0,1,-1,1
413,Gamble,Ken,Chicago,0,1,-1,1
420,Gamble,Elena,Chicago,0,1,-1,1
519,Germaine,Ryu,Chicago,0,1,-1,1
613,Joe,Ken,Chicago,0,1,-1,1
714,Jose,Makoto,Chicago,0,2,-2,1
813,Kerry,Ken,Chicago,4,7,-3,1
824,Kerry,Alex,Chicago,1,4,-3,1
1118,Quentin,Urien,Chicago,0,3,-3,1
913,Michael,Ken,Chicago,0,3,-3,1
920,Michael,Elena,Chicago,0,3,-3,1
1011,Miguel,Chun,Chicago,4,8,-4,1
624,Joe,Alex,Chicago,4,8,-4,1
1127,Quentin,Remy,Chicago,0,4,-4,1
911,Michael,Chun,Chicago,0,6,-6,1
927,Michael,Remy,Chicago,6,13,-7,1
226,Brian,Q,Chicago,3,10,-7,1
524,Germaine,Alex,Chicago,3,11,-8,1
225,Brian,Oro,Chicago,4,13,-9,1
213,Brian,Ken,Chicago,3,17,-14,1
713,Jose,Ken,Chicago,9,25,-16,1
427,Gamble,Remy,Chicago,0,16,-16,1
720,Jose,Elena,Chicago,45,65,-20,1
1223,Tony,Hugo,Chicago,23,50,-27,1
