pid,player,character,region,winStrength,lossStrength,w/l,rank
124,Adam,Alex,Chicago,63,31,32,8
1113,Quentin,Ken,Chicago,33,15,18,7
1114,Quentin,Makoto,Chicago,62,49,13,6
115,Adam,Dudley,Chicago,13,3,10,5
122,Adam,Necro,Chicago,26,19,7,4
126,Adam,Q,Chicago,15,9,6,4
1111,Quentin,Chun,Chicago,9,3,6,4
1115,Quentin,Dudley,Chicago,7,1,6,4
116,Adam,Yang,Chicago,6,0,6,4
1117,Quentin,Akuma,Chicago,6,2,4,3
120,Adam,Elena,Chicago,4,1,3,2
1225,Tony,Oro,Chicago,4,1,3,2
411,Gamble,Chun,Chicago,9,9,0,1
1123,Quentin,Hugo,Chicago,1,1,0,1
319,Chase,Ryu,Chicago,0,1,-1,1
322,Chase,Necro,Chicago,0,1,-1,1
324,Chase,Alex,Chicago,0,1,-1,1
329,Chase,Sean,Chicago,0,1,-1,1
420,Gamble,Elena,Chicago,0,1,-1,1
613,Joe,Ken,Chicago,0,1,-1,1
714,Jose,Makoto,Chicago,0,3,-3,1
913,Michael,Ken,Chicago,0,4,-4,1
413,Gamble,Ken,Chicago,0,5,-5,1
1119,Quentin,Ryu,Chicago,13,20,-7,1
1116,Quentin,Yang,Chicago,10,17,-7,1
1017,Miguel,Akuma,Chicago,3,10,-7,1
1019,Miguel,Ryu,Chicago,0,8,-8,1
216,Brian,Yang,Chicago,0,8,-8,1
824,Kerry,Alex,Chicago,1,10,-9,1
519,Germaine,Ryu,Chicago,0,9,-9,1
1118,Quentin,Urien,Chicago,0,12,-12,1
911,Michael,Chun,Chicago,0,12,-12,1
1127,Quentin,Remy,Chicago,0,18,-18,1
524,Germaine,Alex,Chicago,8,32,-24,1
1011,Miguel,Chun,Chicago,14,42,-28,1
920,Michael,Elena,Chicago,0,28,-28,1
624,Joe,Alex,Chicago,6,36,-30,1
226,Brian,Q,Chicago,8,39,-31,1
927,Michael,Remy,Chicago,9,47,-38,1
225,Brian,Oro,Chicago,6,54,-48,1
813,Kerry,Ken,Chicago,14,63,-49,1
819,Kerry,Ryu,Chicago,40,91,-51,1
427,Gamble,Remy,Chicago,0,82,-82,1
213,Brian,Ken,Chicago,8,93,-85,1
713,Jose,Ken,Chicago,32,155,-123,1
1223,Tony,Hugo,Chicago,39,262,-223,1
720,Jose,Elena,Chicago,122,408,-286,1
